level,task_id,task_path,task_name
level1,1,third_party/KernelBench/KernelBench/level1/1_Square_matrix_multiplication_.py,1_Square_matrix_multiplication_.py
level1,2,third_party/KernelBench/KernelBench/level1/2_Standard_matrix_multiplication_.py,2_Standard_matrix_multiplication_.py
level1,3,third_party/KernelBench/KernelBench/level1/3_Batched_matrix_multiplication.py,3_Batched_matrix_multiplication.py
level1,4,third_party/KernelBench/KernelBench/level1/4_Matrix_vector_multiplication_.py,4_Matrix_vector_multiplication_.py
level1,5,third_party/KernelBench/KernelBench/level1/5_Matrix_scalar_multiplication.py,5_Matrix_scalar_multiplication.py
level1,6,third_party/KernelBench/KernelBench/level1/6_Matmul_with_large_K_dimension_.py,6_Matmul_with_large_K_dimension_.py
level1,7,third_party/KernelBench/KernelBench/level1/7_Matmul_with_small_K_dimension_.py,7_Matmul_with_small_K_dimension_.py
level1,8,third_party/KernelBench/KernelBench/level1/8_Matmul_with_irregular_shapes_.py,8_Matmul_with_irregular_shapes_.py
level1,9,third_party/KernelBench/KernelBench/level1/9_Tall_skinny_matrix_multiplication_.py,9_Tall_skinny_matrix_multiplication_.py
level1,10,third_party/KernelBench/KernelBench/level1/10_3D_tensor_matrix_multiplication.py,10_3D_tensor_matrix_multiplication.py
level1,11,third_party/KernelBench/KernelBench/level1/11_4D_tensor_matrix_multiplication.py,11_4D_tensor_matrix_multiplication.py
level1,12,third_party/KernelBench/KernelBench/level1/12_Matmul_with_diagonal_matrices_.py,12_Matmul_with_diagonal_matrices_.py
level1,13,third_party/KernelBench/KernelBench/level1/13_Matmul_for_symmetric_matrices.py,13_Matmul_for_symmetric_matrices.py
level1,14,third_party/KernelBench/KernelBench/level1/14_Matmul_for_upper_triangular_matrices.py,14_Matmul_for_upper_triangular_matrices.py
level1,15,third_party/KernelBench/KernelBench/level1/15_Matmul_for_lower_triangular_matrices.py,15_Matmul_for_lower_triangular_matrices.py
level1,16,third_party/KernelBench/KernelBench/level1/16_Matmul_with_transposed_A.py,16_Matmul_with_transposed_A.py
level1,17,third_party/KernelBench/KernelBench/level1/17_Matmul_with_transposed_B.py,17_Matmul_with_transposed_B.py
level1,18,third_party/KernelBench/KernelBench/level1/18_Matmul_with_transposed_both.py,18_Matmul_with_transposed_both.py
level1,19,third_party/KernelBench/KernelBench/level1/19_ReLU.py,19_ReLU.py
level1,20,third_party/KernelBench/KernelBench/level1/20_LeakyReLU.py,20_LeakyReLU.py
level1,21,third_party/KernelBench/KernelBench/level1/21_Sigmoid.py,21_Sigmoid.py
level1,22,third_party/KernelBench/KernelBench/level1/22_Tanh.py,22_Tanh.py
level1,23,third_party/KernelBench/KernelBench/level1/23_Softmax.py,23_Softmax.py
level1,24,third_party/KernelBench/KernelBench/level1/24_LogSoftmax.py,24_LogSoftmax.py
