level,task_id,task_path,task_name
level1,2,third_party/KernelBench/KernelBench/level1/2_Standard_matrix_multiplication_.py,2_Standard_matrix_multiplication_.py
level1,3,third_party/KernelBench/KernelBench/level1/3_Batched_matrix_multiplication.py,3_Batched_matrix_multiplication.py
level1,5,third_party/KernelBench/KernelBench/level1/5_Matrix_scalar_multiplication.py,5_Matrix_scalar_multiplication.py
level1,7,third_party/KernelBench/KernelBench/level1/7_Matmul_with_small_K_dimension_.py,7_Matmul_with_small_K_dimension_.py
level1,17,third_party/KernelBench/KernelBench/level1/17_Matmul_with_transposed_B.py,17_Matmul_with_transposed_B.py
level1,20,third_party/KernelBench/KernelBench/level1/20_LeakyReLU.py,20_LeakyReLU.py
level1,28,third_party/KernelBench/KernelBench/level1/28_HardSigmoid.py,28_HardSigmoid.py
level1,29,third_party/KernelBench/KernelBench/level1/29_Softplus.py,29_Softplus.py
level1,36,third_party/KernelBench/KernelBench/level1/36_RMSNorm_.py,36_RMSNorm_.py
level1,38,third_party/KernelBench/KernelBench/level1/38_L1Norm_.py,38_L1Norm_.py
level1,44,third_party/KernelBench/KernelBench/level1/44_Average_Pooling_1D.py,44_Average_Pooling_1D.py
level1,57,third_party/KernelBench/KernelBench/level1/57_conv_transposed_2D__square_input__square_kernel.py,57_conv_transposed_2D__square_input__square_kernel.py
level1,58,third_party/KernelBench/KernelBench/level1/58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py
level1,59,third_party/KernelBench/KernelBench/level1/59_conv_standard_3D__asymmetric_input__square_kernel.py,59_conv_standard_3D__asymmetric_input__square_kernel.py
level1,63,third_party/KernelBench/KernelBench/level1/63_conv_standard_2D__square_input__square_kernel.py,63_conv_standard_2D__square_input__square_kernel.py
level1,65,third_party/KernelBench/KernelBench/level1/65_conv_transposed_2D__square_input__asymmetric_kernel.py,65_conv_transposed_2D__square_input__asymmetric_kernel.py
level1,66,third_party/KernelBench/KernelBench/level1/66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py,66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py
level1,69,third_party/KernelBench/KernelBench/level1/69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py,69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py
